,state,zipcode,total_income
1062,AL,35587,1643.0001
1063,AL,35587,3020.0
1064,AL,35587,2827.0001
1065,AL,35587,3427.0001
1066,AL,35587,5143.0001
1068,AL,35592,8995.0
1069,AL,35592,15634.0
1070,AL,35592,17786.0
1071,AL,35592,13606.0
1072,AL,35592,25147.0
1074,AL,35593,3235.0
1075,AL,35593,7170.0
1076,AL,35593,7382.0
1077,AL,35593,5675.0
1078,AL,35593,7320.0
1080,AL,35594,14495.0
1081,AL,35594,27592.0
1082,AL,35594,27378.0
1083,AL,35594,22980.0
1084,AL,35594,42061.0
1085,AL,35594,22131.0
1086,AL,35601,77226.0
1087,AL,35601,146882.0
1088,AL,35601,104827.0
1089,AL,35601,72429.0
1090,AL,35601,127132.0
1091,AL,35601,171521.0
1092,AL,35603,59742.0
1093,AL,35603,126542.0
1094,AL,35603,125264.0
1095,AL,35603,128471.0
1096,AL,35603,336487.0
1097,AL,35603,252672.0
1098,AL,35610,3046.0
1099,AL,35610,6872.0
1100,AL,35610,7695.0
1101,AL,35610,7064.0001
1102,AL,35610,14259.0
1104,AL,35611,55597.0
1105,AL,35611,110548.0
1106,AL,35611,87988.0
1107,AL,35611,67285.0
1108,AL,35611,142629.0
1109,AL,35611,89468.0
1110,AL,35613,32115.0
1111,AL,35613,69639.0
1112,AL,35613,94125.0
1113,AL,35613,115910.0
1114,AL,35613,340555.0
1115,AL,35613,271658.0
1116,AL,35614,15357.0
1117,AL,35614,31002.0
1118,AL,35614,30345.0
1119,AL,35614,26666.0
1120,AL,35614,39228.0
1121,AL,35614,14349.0001
1122,AL,35616,6823.0
1123,AL,35616,12810.0
1124,AL,35616,13441.0
1125,AL,35616,12009.0
1126,AL,35616,23747.0
1128,AL,35618,4349.0
1129,AL,35618,8401.0
1130,AL,35618,7124.0
1131,AL,35618,4215.0
1132,AL,35618,8213.0001
1134,AL,35619,9878.0
1135,AL,35619,20820.0
1136,AL,35619,20539.0
1137,AL,35619,19315.0
1138,AL,35619,28101.0
1139,AL,35619,10353.0001
1140,AL,35620,17158.0
1141,AL,35620,36377.0
1142,AL,35620,41316.0
